numeric_time,Temperature (C)
0.0,25.0
120.0,-47.170893894562
240.00000000000003,-81.04470595590615
360.0,-101.9562391433026
480.00000000000006,-116.5769780469514
600.0,-127.53938308390494
720.0,-136.264305089543
840.0,-143.3655510880312
960.0,-149.34355290309384
1080.0,-154.4487747024429
1320.0,-158.8859756602157
1440.0,-162.79693436005834
1560.0,-166.2794093319958
1680.0,-169.40886460907015
1800.0,-172.24259530257794
1920.0,-174.81877916581493
2040.0,-177.18747406668433
2160.0,-179.36113247381556
2280.0,-181.3805721063208
2400.0,-183.2517141678805
2520.0,-184.9952240696117
2760.0,-186.6218672078963
2880.0,-188.1466538489951
3000.0,-189.58283147214303
3120.0,-190.93799318609808
3240.0,-192.22521880443747
3360.0,-193.4360719653125
3480.0,-194.59019727829235
3600.0,-195.69033220197304
3720.000000000001,-196.73531833669995
3840.000000000001,-197.73217815283493
3960.000000000001,-198.69022823625195
4200.0,-199.60609556795828
4320.0,-200.48321014221048
4440.0,-201.33089859411768
4560.0,-202.1430354138801
4680.0,-202.9289945489016
4800.0,-203.6793171984524
4920.0,-204.4020074674957
5040.0,-205.09807733394217
5160.0,-205.7715288644905
5280.0,-206.42170372144045
5520.0,-207.05167855936355
5640.0,-207.6586307840448
5760.0,-208.2491329895438
5880.0,-208.82108405628765
6000.0,-209.37592711753973
6120.0,-209.9135315783253
6240.0,-210.4368574595779
6360.0,-210.9448715759084
6480.0,-211.4389385542406
6600.0,-211.9209389122176
6720.0,-212.3888723906104
6960.0,-212.84467126744252
7080.0,-213.2894421203133
7200.0,-213.72199031009288
7320.000000000001,-214.1445732653993
7440.000000000001,-214.55665992471077
7560.000000000001,-214.9582862337725
7680.000000000001,-215.34966855960087
7800.000000000001,-215.73408256336225
7920.000000000001,-216.10897369017533
8040.000000000001,-216.4764715861454
8160.000000000001,-216.83527562585573
8400.0,-217.1849054653061
8520.0,-217.5276325914288
8640.0,-217.86373199036004
8760.0,-218.19439278959925
8880.0,-218.51711105099443
9000.0,-218.83252592292783
9120.0,-219.14296771228345
9240.0,-219.44736705269585
9360.0,-219.7458609134946
9480.0,-220.04000466368583
9600.0,-220.32752935881237
9840.0,-220.60961300727527
9960.0,-220.8848813099309
10080.0,-221.15601669350147
10200.0,-221.4228705006024
10320.0,-221.68573653989088
10440.0,-221.94392460099755
10560.0,-222.19762527449805
10680.0,-222.44492325699863
10800.0,-222.6890107175924
10920.0,-222.92983650262929
11040.0,-223.16677101624288
11280.0,-223.39866418320327
11400.0,-223.6273976249778
11520.0,-223.852524112852
11640.0,-224.07359033408937
11760.0,-224.2909670782989
11880.0,-224.50562464393943
12000.0,-224.7169665691346
12120.0,-224.92430389932755
12240.0,-225.12824926734345
12360.0,-225.32970478635497
12480.0,-225.5276121252861
12720.0,-225.72372946015128
12840.0,-225.9160429336252
12960.0,-226.1066293485887
13080.0,-226.2933462608085
13200.0,-226.4780847173194
13320.0,-226.65986206020585
13440.0,-226.83947322269196
13560.0,-227.01639026094472
13680.0,-227.1915356510033
13800.0,-227.36497049669876
14040.0,-227.5361200738852
14160.0,-227.70603594492772
14280.0,-227.87337085160516
14400.0,-228.03898441034903
14520.0,-228.20235202265064
14640.000000000002,-228.36418782900705
14760.000000000002,-228.5243401186076
14880.000000000002,-228.68204648947983
15000.000000000002,-228.8375969733837
15120.000000000002,-228.9912446103729
15240.000000000002,-229.1430944046164
15480.000000000002,-229.2927324298942
15600.000000000002,-229.4399050621713
15720.000000000002,-229.5854362947705
15840.000000000002,-229.7292100156547
15960.000000000002,-229.87168921455395
16080.000000000002,-230.0128128421138
16200.000000000002,-230.1517919086293
16320.000000000002,-230.2894185487993
16440.0,-230.42546426765017
16560.0,-230.5604325963101
16680.0,-230.69375317172145
16920.0,-230.8257520708006
17040.0,-230.9560998224303
17160.0,-231.0850756936916
17280.0,-231.21295996831464
17400.0,-231.3392783700004
17520.0,-231.46449346962856
17640.0,-231.5885828557825
17760.0,-231.7109912041323
17880.0,-231.83251893299013
18000.0,-231.9519107189933
18120.0,-232.07052716112645
18360.0,-232.18783452303103
18480.0,-232.3034499682958
18600.0,-232.41790826843544
18720.0,-232.53159544160007
18840.0,-232.64399273341112
18960.0,-232.7553772172241
19080.0,-232.8658006800549
19200.0,-232.97502594666915
19320.0,-233.08336660650812
19440.0,-233.19089155262856
19560.0,-233.2970969229413
19800.0,-233.40282352406163
19920.0,-233.5077563768164
20040.0,-233.61143346666168
20160.0,-233.7141007275144
20280.0,-233.8161664571504
20400.0,-233.91716682232217
20520.0,-234.01752557010624
